Name,Year,Domestic,Foreign,Budget,Runtime,Rating,Genre
!Women Art Revolution, (2010),"$52,681",,,1 hr 23 min,,Documentary
'71, (2014),"$1,270,847","$1,791,331",,1 hr 39 min,R,Action;Crime;Drama;Thriller;War
$9.99, (2008),"$52,384","$655,970",,1 hr 18 min,R,Animation;Drama;Fantasy
Bedazzled, (1967),,,,1 hr 43 min,,Comedy;Fantasy;Romance
It's Alive, (2009),"$1,035,267","$1,035,267",,1 hr 20 min,R,Horror;Sci-Fi
Happy Family, (2006),"$1,271,669","$1,271,669",,1 hr 22 min,,Comedy;Romance
If Only, (2004),"$5,275,103","$5,275,103",,1 hr 32 min,PG-13,Comedy;Drama;Fantasy;Romance
Let the Wrong One In, (2021),"$13,303","$13,303",,1 hr 40 min,,Action;Comedy;Horror
'Neath the Arizona Skies, (1934),,,,52 min,,Drama;Western
Transformers: Rise of the Beasts, (2023),"$157,066,392","$284,314,801",,2 hr 7 min,PG-13,Action;Adventure;Sci-Fi
"'night, Mother", (1986),"$441,863",,,1 hr 36 min,PG-13,Drama
